card,card_type,comment,del,elapsed,elapsed_plus,event_incident_typefk,goal_type,id,match_id,n,player1,pos_x,pos_y,rcards,sortorder,stats,subtype,team,type,value,ycards
,y,y,,32,,73,,471045,1754,291,30509,,,,2,,serious_fouls,8456,card,,
,y,y,,58,,25,,471490,1754,326,23932,,,,0,,stall_time,8559,card,,
,y,y,,19,,73,,467115,1755,244,34947,,,,0,,serious_fouls,8655,card,,
,y2,y2,,36,,202,,467348,1755,264,34947,,,,0,,hands,8655,card,,
,y,y,,40,,79,,467413,1755,267,42594,,,,0,,verbal_abuse,8659,card,,
,y,y,,68,,73,,468026,1755,303,31731,,,,2,,serious_fouls,8659,card,,
,y,y,,79,,73,,468204,1755,315,38433,,,,2,,serious_fouls,8659,card,,
,y,y,,90,2,73,,468394,1755,327,35506,,,,4,,serious_fouls,8655,card,,
,y,y,,18,,73,,467119,1756,240,25150,,,,3,,serious_fouls,8528,card,,
,y,y,,35,,73,,467342,1756,255,24230,,,,1,,serious_fouls,8528,card,,
,y,y,,49,,73,,467752,1756,280,111865,,,,1,,serious_fouls,8528,card,,
,y,y,,40,,70,,467421,1757,279,30960,,,,0,,,9825,card,,
,y,y,,64,,70,,467959,1757,304,35467,,,,1,,,10194,card,,
,y,y,,68,,73,,468032,1757,314,23314,,,,2,,serious_fouls,10194,card,,
,r,r,,77,,63,,468170,1757,323,30843,,,,0,,serious_fouls,9825,card,,
,y,y,,90,1,73,,468375,1757,333,25668,,,,2,,serious_fouls,10194,card,,
,y,y,,90,8,176,,468428,1757,339,30613,,,,1,,violence,9825,card,,
,y,y,,90,8,176,,468429,1757,337,23072,,,,1,,violence,10194,card,,
,y,y,,39,,73,,467422,1758,246,24655,,,,5,,serious_fouls,8472,card,,
,y,y,,27,,73,,477674,1759,302,38835,,,,1,,serious_fouls,9825,card,,
,y,y,,38,,70,,477735,1759,312,32569,,,,2,,,10260,card,,
,y,y,,40,,77,,477743,1759,294,26111,,,,2,,shirt_pull,9825,card,,
,y,y,,51,,73,,477805,1759,327,31291,,,,2,,serious_fouls,9825,card,,
,y,y,,66,,73,,477905,1759,363,34944,,,,5,,serious_fouls,10260,card,,
,y,y,,18,,73,,479390,1760,209,26527,,,,3,,serious_fouls,8659,card,,
,y,y,,67,,73,,479646,1760,224,37442,,,,1,,serious_fouls,8650,card,,
,y,y,,88,,73,,479709,1760,270,38818,,,,1,,serious_fouls,8650,card,,
,y,y,,82,,77,,479006,1761,279,24408,,,,1,,shirt_pull,8472,card,,
,y,y,,85,,73,,479043,1761,269,23988,,,,1,,serious_fouls,8462,card,,
,y,y,,89,,73,,479079,1761,268,24411,,,,0,,serious_fouls,8472,card,,
,y,y,,69,,325,,478932,1762,343,33086,,,,3,,pushing,8668,card,,
,y,y,,81,,325,,479051,1762,339,24773,,,,1,,pushing,8654,card,,
,y,y,,71,,73,,482243,1763,335,38807,,,,1,,serious_fouls,10252,card,,
,y,y,,73,,73,,482280,1763,356,24753,,,,1,,serious_fouls,8549,card,,
,y,y,,75,,73,,482315,1763,321,23354,,,,3,,serious_fouls,10252,card,,
,y,y,,89,,73,,482596,1763,344,35544,,,,1,,serious_fouls,8549,card,,
,y,y,,18,,73,,481324,1764,227,42119,,,,1,,serious_fouls,8456,card,,
,y2,y2,,26,,177,,481453,1764,236,42119,,,,1,,serious_fouls,8456,card,,
,y,y,,48,,79,,481904,1764,237,34182,,,,1,,verbal_abuse,8586,card,,
,y,y,,61,,77,,482128,1764,285,30354,,,,1,,shirt_pull,8586,card,,
,r,r,,83,,63,,482534,1764,281,24211,,,,1,,serious_fouls,8456,card,,
,r,r,,89,,63,,482639,1764,331,40006,,,,2,,serious_fouls,8586,card,,
,y,y,,61,,70,,481012,1765,322,24136,,,,2,,,8655,card,,
,y,y,,81,,70,,481189,1765,324,49571,,,,1,,,8655,card,,
,y,y,,86,,73,,481265,1765,288,30679,,,,1,,serious_fouls,8455,card,,
,y,y,,43,,73,,482557,1766,291,26777,,,,0,,serious_fouls,9879,card,,
,y,y,,66,,73,,482909,1766,315,30929,,,,0,,serious_fouls,10261,card,,
,y,y,,79,,129,,483058,1766,293,30338,,,,1,,hands,9879,card,,
,y,y,,88,,73,,483197,1766,326,25518,,,,1,,serious_fouls,10261,card,,
,y,y,,25,,70,,478386,1767,256,23022,,,,7,,,8667,card,,
,y,y,,41,,73,,478521,1767,278,35532,,,,1,,serious_fouls,8559,card,,
,y,y,,69,,70,,478907,1767,301,23937,,,,3,,,8559,card,,
,y,y,,10,,73,,477586,1768,240,40695,,,,1,,serious_fouls,10194,card,,
,y,y,,62,,73,,477887,1768,291,38755,,,,7,,serious_fouls,10194,card,,
,y,y,,74,,73,,477943,1768,307,24230,,,,3,,serious_fouls,8528,card,,
,y,y,,85,,70,,477994,1768,317,23072,,,,0,,,10194,card,,
,y,y,,43,,73,,487534,1769,222,38755,,,,4,,serious_fouls,10194,card,,
,y,y,,47,,70,,487713,1769,228,25668,,,,3,,,10194,card,,
,y,y,,62,,70,,488024,1769,246,32569,,,,4,,,10260,card,,
,y,y,,10,,73,,486980,1770,243,39297,,,,4,,serious_fouls,9825,card,,
,y,y,,19,,73,,487124,1770,254,30613,,,,0,,serious_fouls,9825,card,,
,y,y,,44,,25,,487549,1770,289,30380,,,,0,,stall_time,10252,card,,
,y,y,,55,,73,,487806,1770,298,23782,,,,1,,serious_fouls,10252,card,,
,y,y,,81,,70,,488271,1770,330,23264,,,,0,,,10252,card,,
,y,y,,90,,73,,488423,1770,338,23283,,,,1,,serious_fouls,10252,card,,
,y,y,,39,,73,,487477,1771,240,24630,,,,2,,serious_fouls,8462,card,,
,y,y,,65,,73,,490634,1772,338,33128,,,,1,,serious_fouls,8549,card,,
,y,y,,69,,73,,490657,1772,346,24167,,,,1,,serious_fouls,8549,card,,
,y,y,,16,,73,,487078,1773,266,35472,,,,0,,serious_fouls,8528,card,,
,y,y,,50,,73,,487773,1773,305,25518,,,,0,,serious_fouls,10261,card,,
,y,y,,50,,73,,487802,1773,309,24230,,,,5,,serious_fouls,8528,card,,
,y2,y2,,54,,26,,487861,1773,317,35472,,,,1,,,8528,card,,
,y,y,,57,,73,,487924,1773,322,97988,,,,4,,serious_fouls,8528,card,,
,y,y,,25,,70,,487302,1774,258,24655,,,,0,,,8472,card,,
,y,y,,33,,70,,487361,1774,259,24136,,,,1,,,8655,card,,
,y,y,,39,,129,,487463,1774,264,24408,,,,3,,hands,8472,card,,
,y,y,,29,,70,,487475,1774,261,24740,,,,0,,,8472,card,,
,y,y,,54,,70,,487844,1774,278,35506,,,,0,,,8655,card,,
,y,y,,54,,70,,487982,1774,286,30988,,,,0,,,8472,card,,
,y,y,,70,,70,,488130,1774,292,23889,,,,2,,,8655,card,,
,y,y,,16,,129,,487092,1775,272,24741,,,,3,,hands,9879,card,,
,y,y,,62,,79,,486618,1776,284,23933,,,,1,,verbal_abuse,8559,card,,
,y,y,,86,,70,,486785,1776,317,30617,,,,0,,,8650,card,,
,y,y,,52,,73,,488727,1777,250,30627,,,,0,,serious_fouls,8455,card,,
,y,y,,57,,73,,488742,1777,261,25925,,,,2,,serious_fouls,8455,card,,
,y,y,,78,,73,,488803,1777,279,31306,,,,4,,serious_fouls,8455,card,,
,y,y,,11,,73,,491357,1778,277,23939,,,,2,,serious_fouls,8456,card,,
,y,y,,25,,73,,491517,1778,286,40132,,,,2,,serious_fouls,8667,card,,
,y,y,,83,,25,,492357,1778,354,30367,,,,0,,stall_time,8456,card,,
,y,y,,84,,25,,492363,1778,355,24213,,,,0,,stall_time,8456,card,,
,y,y,,88,,73,,492402,1778,361,34437,,,,3,,serious_fouls,8667,card,,
,y,y,,19,,73,,499904,1780,316,17866,,,,5,,serious_fouls,8472,card,,
,y,y,,22,,77,,499938,1780,323,36786,,,,5,,shirt_pull,8472,card,,
,y,y,,28,,73,,500005,1780,331,33049,,,,5,,serious_fouls,8654,card,,
,y,y,,27,,73,,498829,1781,271,25667,,,,1,,serious_fouls,8655,card,,
,y2,y2,,39,,177,,498907,1781,284,25667,,,,1,,serious_fouls,8655,card,,
,y,y,,45,2,163,,498989,1781,299,23760,,,,1,,diving,8586,card,,
,y,y,,69,,73,,499318,1781,312,37764,,,,2,,serious_fouls,8655,card,,
,y,y,,88,,176,,499462,1781,352,30818,,,,1,,violence,8586,card,,
,y,y,,88,,176,,499464,1781,327,38711,,,,2,,violence,8655,card,,
,y,y,,77,,73,,497621,1782,329,24658,,,,1,,serious_fouls,10252,card,,
,y,y,,7,,70,,495145,1783,236,24167,,,,2,,,8549,card,,
,y,y,,22,,73,,495353,1783,253,33128,,,,3,,serious_fouls,8549,card,,
,y,y,,52,,70,,495996,1783,280,35532,,,,1,,,8559,card,,
,y,y,,63,,77,,496211,1783,332,23783,,,,1,,shirt_pull,8559,card,,
,y,y,,67,,77,,496292,1783,335,23785,,,,1,,shirt_pull,8559,card,,
,y,y,,70,,70,,496357,1783,299,23933,,,,3,,,8559,card,,
,y,y,,84,,73,,496576,1783,319,23784,,,,1,,serious_fouls,8559,card,,
,y,y,,87,,73,,496664,1784,297,23678,,,,2,,serious_fouls,9825,card,,
,y,y,,85,,77,,496630,1785,377,25517,,,,2,,shirt_pull,8462,card,,
,y,y,,86,,73,,496650,1785,364,23605,,,,4,,serious_fouls,8667,card,,
,y,y,,90,5,79,,496805,1785,371,24653,,,,1,,verbal_abuse,8462,card,,
,y,y,,88,,73,,496670,1786,315,23275,,,,4,,serious_fouls,10194,card,,
,y,y,,49,,73,,496016,1788,347,33852,,,,5,,serious_fouls,10261,card,,
,y,y,,86,,73,,496678,1788,383,40565,,,,7,,serious_fouls,10261,card,,
,y,y,,19,,70,,513147,1789,249,24747,,,,2,,,8654,card,,
,y,y,,54,,203,,513246,1789,292,30889,,,,1,,emergency_brake,8650,card,,
,y,y,,21,,70,,507138,1790,258,30352,,,,1,,,8472,card,,
,y,y,,42,,73,,507439,1790,282,24446,,,,1,,serious_fouls,8472,card,,
,y,y,,64,,73,,507882,1790,305,36786,,,,3,,serious_fouls,8472,card,,
,y,y,,88,,79,,508257,1790,320,38836,,,,1,,verbal_abuse,8472,card,,
,y,y,,32,,73,,510361,1791,296,40006,,,,3,,serious_fouls,8586,card,,
,y,y,,51,,70,,510682,1791,319,36012,,,,2,,,8668,card,,
,y,y,,64,,77,,510895,1791,333,39618,,,,2,,shirt_pull,8668,card,,
,y,y,,77,,79,,511093,1791,342,30876,,,,1,,verbal_abuse,8668,card,,
,y,y,,3,,73,,506886,1792,250,30956,,,,4,,serious_fouls,9879,card,,
,y,y,,84,,73,,508137,1792,348,37266,,,,1,,serious_fouls,9879,card,,
,y,y,,68,,73,,507929,1793,250,35544,,,,1,,serious_fouls,8549,card,,
,y,y,,81,,70,,508120,1793,270,26209,,,,1,,,10261,card,,
,y,y,,21,,78,,509581,1794,268,38994,,,,4,,kicked_ball_away,10260,card,,
,y,y,,33,,73,,509640,1794,281,24148,,,,1,,serious_fouls,10260,card,,
,y,y,,41,,78,,509693,1794,292,24213,,,,3,,kicked_ball_away,8456,card,,
,y,y,,45,1,73,,509741,1794,296,30340,,,,2,,serious_fouls,8456,card,,
,y,y,,59,,73,,509927,1794,317,30893,,,,1,,serious_fouls,10260,card,,
,y,y,,66,,70,,509945,1794,324,32569,,,,1,,,10260,card,,
,y2,y2,,68,,202,,509952,1794,330,30893,,,,3,,hands,10260,card,,
,y,y,,85,,73,,510148,1794,342,34944,,,,1,,serious_fouls,10260,card,,
,y,y,,42,,73,,510494,1795,300,37764,,,,0,,serious_fouls,8655,card,,
,y,y,,45,1,70,,507498,1796,275,23605,,,,0,,,8667,card,,
,y,y,,45,2,70,,507505,1796,272,40574,,,,1,,,10194,card,,
,y,y,,72,,70,,508051,1796,305,23021,,,,2,,,8667,card,,
,y,y,,83,,73,,508177,1796,313,24133,,,,1,,serious_fouls,10194,card,,
,y,y,,88,,70,,508269,1796,319,26066,,,,2,,,8667,card,,
,y,y,,48,,25,,507584,1797,299,27267,,,,0,,stall_time,8659,card,,
,y,y,,86,,79,,508164,1797,350,24664,,,,0,,verbal_abuse,8659,card,,
,y,y,,61,,73,,511694,1798,299,30627,,,,1,,serious_fouls,8455,card,,
,y,y,,85,,73,,511957,1798,319,31306,,,,1,,serious_fouls,8455,card,,
